sentence,og_sentence,kmeans_cluster,x,y
ạ cho mình hỏi,Ah cho mình hỏi,1,3.764826,89.519836
mình tự lắp ráp luôn ạ,Mình tự lắp ráp luon ạ,6,-9.029592,-8.983375
https //shopê vn/gh%e1%ba%bf-%c4%83n-%c4%91a-n%c4%83ng-cao-c%e1%ba%a5p-piẻi 36371562 7014513720,https://shopee.vn/Gh%E1%BA%BF-%C4%83n-%C4%91a-n%C4%83ng-cao-c%E1%BA%A5p-Pier-i.36371562.7014513720,5,91.651733,7.069963
tập ngồi và an dặm ấy,tập ngồi và ăn dặm ấy,8,22.754202,0.340253
ghế đa năng ấy ạ,ghế đa năng ấy ạ,7,22.564346,-30.921232
loại nào không mùi chất lượng như nhau chỉ khác kích thước,Loại nào k mùi? Chất lượng như nhau chỉ khác kích thước?,2,61.08736,7.399585
cho mình 1 thảm này nhé,Cho mình  1 thảm này nhé,9,35.45546,77.715019
mình đổi sang loại không bọc da được không,Mình đổi sang loại ko bọc da đc ko,14,-3.965965,-11.241748
cho mình mẫu ghế với ạ,Cho mình mẫu ghế với ạ,9,35.685135,66.309097
cho mình hỏi bộ này với,cho m hỏi bộ này với,9,36.074921,77.703888
shop,shop,1,13.891718,81.110008
bạn gửi hộ mình nhé,B gửi hộ m nhé,1,-20.527273,60.815319
0975999303,0975999303,11,72.828033,-28.832106
cốc k33 ngõ 103 đường lý sơn ngọc thụy long biên nhé,"Cc k33, ngõ 103 đường lý sơn, ngọc thụy, long biên nhé",13,-50.260323,-24.153576
mai thì bạn giao về nhà giúp mình nhé,Mai thì b giao về nhà giúp m nhé,1,-5.720979,69.610168
556 nguyễn văn cừ bạn nhé,556 nguyễn văn cừ b nhé,13,-40.034012,-18.858154
có ạ,Có ạ,9,54.843544,56.119755
mấy ngày thì em nhận được hàng ạ,Mấy ngày thì e nhận đc hàng ạ,1,-8.203266,58.440659
cho mình link để đặt hàng,Cho mình link để đặt hàng,1,-19.276527,67.467247
cho mình đặt hàng nhé,Cho mik đặt hàng nhé,1,-19.106932,79.726967
loại này cho trẻ từ sơ sinh đúng không ạ,Loại này cho trẻ từ sơ sinh đúng k ah,8,28.047041,-9.08011
shop của bạn ở đâu à,Shop của bạn ở đâu ak,4,-43.807709,6.337715
cho em od nha,Cho e od nha,12,-34.869713,17.289104
cho em od 1 cái nha,Cho e od 1 cái nha,12,-21.103329,29.244947
là sao,La sao ?,9,54.572052,54.899715
vietcombank,Vietcombank,5,90.634003,8.432034
chuyển rồi nhé bạn,Chuyển rồi nhé bạn,1,-9.888923,62.726341
bạn kiểm tra kỹ giúp mình nhé mắc cũng lỗi phải đổi nữa,Ban kiếm tra kỹ giúp mình nhé mắc công lỗi phải đổi nữa,14,-10.460464,-25.903879
mình ở hồ chí minh,Minh o hcm,4,-62.992355,1.562799
đang giao phải không shop,Đang giao pk shop,1,10.416339,66.152763
311/8 kp 5b tân biên biên hoà đồng nai 0906796079 trần thị ngọc lan,"311/8 kp 5b tân biên biên hoà đồng nai. 
0906796079 trần thị ngọc lan.",10,-55.39053,-43.017109
công ty k+k cao sơn tiên phương chương mỹ,Cty k+k cao sơn tiên phương  chương mỹ,10,-55.649483,-49.171738
về chúc sơn,Ve chúc sơn,13,-44.625381,-33.696171
mình hỏi tủ thôi,Mình hỏi tủ thôi,6,-1.642418,4.321324
em lấy quà tặng ạ,E lấy quà tặng ạ,6,-4.802329,0.305535
sao chưa thấy gửi mẫu vậy shop,Sao chưa thấy gửi mẫu vậy shop,0,9.206432,46.052475
oh,Oh,10,-80.218559,-45.936577
0934152016,0934152016,11,64.505424,-42.536156
sao mắc vay ạ,Sao mac vay ạ,7,18.476044,-51.391369
thành phố hồ chí minh,Tp hcm,4,-65.112671,2.964688
hôm nay em vẫn không thấy,Hnay e vân k thây,12,-40.832184,59.952133
thảm bên bạn chất lg thế nào nhỉ,Thảm bên bạn chất lg thế nào nhỉ,2,55.540646,6.464357
36 bùi thị xuân quận 1 thành phố hồ chí minh,"36 bùi thị xuân quận 1, tphcm",4,-62.694515,-1.128348
mà có hai gờ và lõm ở giữa,mà có hai gờ và lõm ở giữa,13,-42.910587,-25.210743
cậu thanh nhà mình thanh nó không nhận,cầu thành nhà mình thành nó k nhẵn,0,-2.507327,25.344196
cho mình order 1 thanh chắn nhé,cho mình order 1 thanh chắn nhé,0,5.726049,15.331466
ngân hàng seabank,Ngân hàng Seabank,10,-35.363716,-63.440517
quây này bên em còn hàng kg,quây này bên e còn hàng kg,2,35.987305,14.953392
mình cảm iwn nhé,m cảm iwn nhé,3,-20.18992,-57.323853
nay shop gửi đồ cho mình chưa ạ,nay shop gửi đồ cho mình chưa ạ,1,-12.153628,67.748405
cảm oen shop ạ,Cảm oen shop ạ,3,-4.889318,-71.691742
nhueng shop chủ động liên hệ gửi hàng cho mình nha,Nhueng shop chủ động liên hệ gửi hàng cho m nha,14,-18.121361,-39.72052
mình gửi nhé,M gửi nhé,1,-22.245474,80.391113
0987113536,0987113536,11,64.028893,-23.839525
thị trấn còng tĩnh gia thanh hóa,"Thị trấn Còng, tĩnh gia, thanh hóa",10,-54.484894,-42.009483
2mx2m,2mx2m,11,73.644135,-30.262472
gửi giúp mình ảnh nhé,Gửi giúp mình ảnh nhé,1,-22.083244,65.574112
cho mình link sản phẩm,Cho m link sp,12,-21.774235,37.422596
có ảnh chụp thật bên ngoài thì cho mình xin nhé,Có ảnh chụp thật bên ngoài thì cho mình xin nhé,6,-1.524325,9.294829
tớ muốn hỏi tủ này vì trước tớ mua bên bạn 1 cái này rồi,T mún hỏi tủ này vì trc t mua bên bạn 1 cái này rùi,9,34.049706,52.924683
thì mua mấy thanh hả bạn,Thì mua mấy thanh hả b,9,47.898438,47.380447
khoảng cách giữa 2 bên là 89,Khoảng cách giữa 2 bên là 89,3,11.782214,-63.502331
mình muốn lắp ở bậc dưới cùng cho chó không lên nhà,Mình muốn lắp ở bậc dưới cùng cho chó k lên nhà,14,-7.235171,-20.122995
lắp 1 thanh dưới tầng 1 thời ạ,Lắp 1 thanh dưới tầng 1 thôi ạ,7,25.492262,-37.142803
link bạn gửi cũng hình nôi này mà,Link bạn gửi cũng hình nôi này mà,0,9.781285,11.8739
hay chỉ có mỗi 1 nấc ở giữa í thôi,Hay chỉ có mỗi 1 nấc ở giữa í thôi,7,21.26943,-39.251923
cho mình hỏi là cũi này có mấy nấc ạ,Cho mình hỏi là cũi này có mấy nấc ạ,0,16.440729,26.692949
cũi vải pier ấy ạ,Cũi vải pier ấy ạ?,3,-14.855501,-78.369171
cho chuyển qua các đơn vị vận chuyển 2-3 ngày mới tới sợ không kịp,Chứ chuyển qua các đơn vị vận chuyển 2-3 ngày mới tới sợ k kịp,14,-5.144163,-38.262981
gamuda gảens hà nội,"Gamuda Gardens, Hà Nội",4,-76.035004,-9.443092
mình đã đặt hàng rồi,Minh da dat hang roi,12,-26.080976,58.204247
0888914550,0888914550,11,57.30891,-34.027657
mình mua loại này nè bạn,Mình mua loai nay ne ban,9,32.689678,53.343552
sao shop nhận mình 129k,Sao shop nhan minh 129k,6,-19.994728,0.72227
dài ạ,Đai a,7,28.066116,-26.688324
lấy mình 1 cái a,Lấy mình 1 cái a,9,32.514267,69.924522
cái loại đồ của mỹ dung không ạ,Cai loai do cua my dung ko a,8,36.539558,-0.652691
điều chỉnh được độ cao,điều chỉnh đc độ cao,3,-25.473412,-69.89019
chỉ mình hỏi ghế ăn dặm,chi mình hỏi ghế ăn dặm,6,-1.769391,3.444081
bạn cho mình xin ảnh sản phẩm được không ạ,B cho m xin ảnh sp dc ko ạ,1,0.403342,59.642075
có hàng báo lại cho mình nhé,Có hàng báo lại cho mình nhé,1,-14.093892,76.508469
ghế này của hãng gì ạ,Ghế này của hãng gì ạ,2,42.417351,22.420609
mình ở thành phố vinh nghệ an,"Mình ở tp Vinh, nghệ an",4,-61.402447,-3.415034
shop cho mình đặt cái ghế gội đầu cho bé,Shop cho mình đặt cái ghế gội đầu cho bé,12,-21.756931,30.740627
bạn từ hà nội gửi hàng đúng ạ,Bạn từ hn gửi hàng đúng ạ?,4,-54.941242,11.625196
mình đang tìm loại tốt cho con,Mình đang tìm loại tốt cho con,0,13.547416,26.265333
ghế này của nước nào bạn nhỉ,Ghế này của nước nào b nhỉ,2,58.446682,24.662605
1m9*1m5,1m9*1m5,11,59.301952,-34.164055
em muốn mua loại to hơn,Em muốn mua loại to hơn,9,35.823788,49.629601
máy này máy gì em,Máy này máy j e,9,51.656094,49.398861
máy này máy gì vậy bạn,Máy nay máy j v b,9,51.677746,48.974251
vậy mình đặt shope ne,V minh dat shope ne,3,-16.157841,-47.284134
giờ mua thêm máy này đx giảm không bạn,Gio mua thêm máy này đx giảm k b,6,7.659672,10.087766
0888483689,0888483689,11,69.837959,-34.020023
tuần hoà bình green city 505 minh khai,"Tuấn
Hoà Bình Green city, 505 Minh Khai",13,-58.981556,-28.519512
bé gái nhé,Bé gái nhé,14,-22.685968,-21.083822
0776228526,0776228526,11,61.540497,-36.051159
công số 1 bv việt đức số 16 phủ doãn nhé,Cổng số 1 Bv Việt Đức số 16!phủ doãn nhé,13,-46.336143,-29.673813
ngựa mình này không pha sữa được ạ,Nhựa bình này k pha sữa dc ạ,0,11.407782,19.274046
hĩ tiếc quá,"hix, tiếc quá.",10,-55.885216,-60.745148
cao vậy ạ,Cao vậy ah,2,38.529408,32.367973
ui,Ui,10,-70.34185,-58.313023
người ta giao hàng cho mình rồi,Ngta giao hàng cho mình rồi,12,-38.048267,38.727432
người nhận tên minh,Người nhận tên Minh,13,-48.03677,-5.947537
shop có đồ gì thì gth mình với,Shop có đồ j thì gth mình với,0,18.253742,31.193764
mình cho bé ăn dặm baby lead,Mình cho bé ăn dặm baby lead,14,-18.446154,-45.325901
nên đen cũng được bạn à,Nên đen cũng dc bạn à,0,-1.073864,31.996824
bé thích lắm lun ❤️❤️❤️,Bé thích lắm lun ❤️❤️❤️,10,-40.598179,-64.965599
em nhận được hàng rồi nha shop,E nhận đc hàg r nha shop,1,-28.980448,65.15564
có chỉ cách ráp hết phải hk chị p,Có chỉ cách ráp hết pải hk c p,7,15.209146,-34.887997
em nhận được mà hk biết vô như thế nào,E nhận đc mà hk biết vô ntn,2,49.324825,15.306144
shop gửi ghế cho em chưa,Shop gửi ghế cho e chưa,1,-16.156448,69.282784
cho em coi hoá đơn với ạ,Cho e coi hoá đơn vs ạ,14,-17.148172,-13.133625
à em nhầm,À e nhầm,8,9.305876,-12.6747
mua giúp em đi chị 🤧,Muâ giúp e đi c 🤧,12,-30.635262,32.024845
cho em cái 15 cánh 1 cửa đi ạ,Cho e cái 15 cánh 1 cửa đi ạ,6,2.280232,10.878548
mình ở quảng ninh,mình ở quảng ninh,13,-45.893349,-7.554777
thế ạ,thế ah,2,68.491402,22.119921
thế là cả màn nữa là 1350k,thế là cả màn nữa là 1350k,7,37.670685,-40.891182
bán rời ạ,bán rời ah,7,22.208332,-51.33522
nguyễn thị oanh xóm xuân bình xã đội bình huyện yên sơn tỉnh tuyên quang,Nguyễn thị oanh. Xóm xuân bình. Xã đội bình. Huyện yên sơn. Tỉnh tuyên quang,13,-52.419792,-24.668932
lắp bên bạn đến lắp hay thế nào ạ,Lắp bên b đến lắp hay tn a,2,55.824142,34.829994
hai mẫu này khác nhau những gì bạn,Hai mẫu này khác nhau những j b,8,41.792194,-6.591341
mình thấy ghế bạn toàn 0-36 tháng,M thấy ghế b toàn 0-36 tháng,6,-9.361283,-10.561514
quên bé nha mình 2t rồi,Quên bé nhag m 2t rồi,14,-12.455445,-24.955177
tầm dưới 5 triệu,TẦm dưới 5tr,13,-41.269455,-39.180687
vậy thôi bạn ạ\,vậy thôi bạn ạ\,7,24.449724,-46.960133
mua được tặng sinh hâm phải không bạn,Mua đc tăng binh hâm pk bạn,0,-2.744885,32.605431
em lấy bên trái,E lấy bên trái,14,-20.609028,-19.801935
thảm gấp gọn được đúng không ạ,Thảm gấp gọn đc đúng ko ạ,8,12.843552,7.079278
em lấy mẫu này,E lấy mẫu này,9,41.945633,68.352371
0911888689 chị nhé,0911888689 c nhe,14,-18.661104,-38.707664
em lấy 1 thảm mình ruoi 2m nhé,E lấy 1 thảm m ruoi 2m nhé,6,0.030819,2.977308
đúng rồi bạn,Đúng rồi bạn,0,-0.277807,47.483162
loại giống như trước,Loại giống như trước,2,53.85569,9.296462
mình nhận roi nhe,M nhan roi nhe,3,-19.29464,-47.944508
lúc nào cũng được bạn nhé,Lúc nào cũng dc b nhe,0,22.740627,21.398779
hoàng diệu ly 0945577656,Hoàng diệu ly 0945577656,10,-66.677193,-55.133842
ngõ 349 ngách 37 số nhà 6 mình khui hà nội,"Ngõ 349 , ngách 37 , số nhà 6 minh khai , hn",13,-70.380173,-9.323552
shop liên hệ hãng sớm cho em với nhé,Shop liên hệ hãng sớm cho em với nhé,6,-5.935296,7.246183
shop gửi sớm giúp em nhé,Shop gửi sớm giúp e nhé,1,-22.252634,63.657143
em đặt rồi đấy ạ,Em đặt r đấy ạ,0,-5.911602,38.595852
em đang cần ạ,Em đang cần ạ,9,18.277159,56.171104
em đặt 1c nhé,Em đặt 1c nhé,6,-28.1418,-8.646831
chị ui,C ui,14,-5.167542,-45.973759
shop kiểm tra lại giúp mình nhé,Shop ktra lại giúp mh nhé,1,-22.58337,59.58979
mình chưa nhận được đồ shop ạ gọi lên tầng đài cũng không gọi được,Mh chưa nhận đc đồ shop ạ. Gọi lên tổng đài cũng ko gọi đc,6,-20.361052,15.006088
mình thấy thông tin đưa ra là phát trong ngày nội tỉnh mà,Mh thấy thông tin đưa ra là phát trong ngày nội tỉnh mà,13,-41.787472,-4.716005
vậy bây giờ mình phải làm như thế nào để nhận được hàng vậy,Vậy bây giờ mh phải làm ntn để nhận đc hàng vậy?,0,22.932823,21.490738
được bạn ạ mai shop giao bù cho mình nhé,Đc b ạ. Mai shop giao bù cho mh nhé,12,-20.753698,51.57056
dành chờ lần sau,Đành chờ lần sau,10,-41.07021,-64.421005
quây bóng thì hết bóng nên chị ấy không lấy nữa ạ,Quây bóng thì hết bóng nên c ấy ko lấy nữa ạ,2,31.178196,22.882618
có ạ,Có ạ,9,54.843544,56.119751
mình ở thái bình ạ,M ở Thái Bình ạ,4,-48.327785,6.926633
mình lấy loại 13 cánh và 1 cửa,Mình lấy loại 13 cánh và 1 cửa,8,33.777996,-5.59055
không được đi kèm ạ,Ko dc đi kèm ạ,0,3.061055,43.863533
đi mình có những loại nào,đi m có những loại nào,2,56.720772,27.738968
cho mình xin kích thước kệ nhé,cho m xin kthuoc kệ nhé,5,66.771011,-2.298002
hàng của chị đã được khuyến đi chưa em,Hàng của chị đã dc chuyển đi chưa e,12,-25.862709,46.95195
không tớ biết rồi,"Ko, t biết rồi",0,1.574324,41.683231
ý là được khuyến mãi của bên thẻ ví ý,Ý là dc khuyến mãi của bên thẻ visa ý,7,12.615108,-42.551361
uh,Uh,10,-39.259533,-53.060223
chứ không thì mình cũng đặt qua đây luôn rồi,Chứ ko thì mình cũng đặt qua đây luôn rồi,12,-25.872774,48.419357
ạ được rồi nhé,à dc rùi nhé,1,-6.857234,74.341103
sao nó cứ báo shop đang tạm nghỉ bán nhỉ,sao nó cứ báo shop đang tạm nghỉ bán nhỉ,8,16.86598,-17.846052
bạn bật thêm đi,b bật thêm đi,14,-8.577559,-11.926047
không đặt được 2 à,k đặt dc 2 à,9,15.95633,59.328049
chung cư gelẽa rivẻide 885 tam trinh hoàng mai hà nội,"chung cư gelexia riverside, 885 tam trinh, hoàng mai, hn",13,-72.756462,-14.720016
1 cái về triều khúc,1 cái về triều khúc,14,1.871038,-42.518963
1 cái hoàng mai,1 cái hoàng mai,0,29.168161,33.952614
về hà nội bạn,về hà nội bạn,4,-57.226337,16.526438
mình mới nhận hàng,Mìmh mới nhận hàng,1,-30.899029,64.736191
trước 0917230492,Trúc 0917230492,10,-32.962341,-62.9538
đây ạ,Đây ạ,8,49.834789,-8.500177
tớ vừa đặt rồi đấy bạn ạ,T vừa đặt rồi đấy b ạ,0,-5.217679,36.661335
tớ ở số 50 liền kề 6a khu c17 mỗ lao hà đông,"T ở số 50 liền kề 6A khu C17, Mỗ Lao, Hà Đông",13,-63.057018,-34.122932
cái này phải order hả bạn,Cái này phải order hả b?,2,41.206688,11.704041
bạn mình vừa or cho shop rồi,Bạn mk vừa or cho shop r,12,-30.931143,28.05139
không được thì thôi,K dc thi thoi,9,14.54995,70.355446
shop có giao được thì giao,Shop có giao dc thi giao,1,8.296184,67.956711
em có còn nhỏ,E có con nhỏ,2,33.659649,21.437361
hôm 2266 đường huỳnh tấn phát,Hẻm 2266 đường huỳnh tấn phát,10,-33.446865,-66.112778
0938650319,0938650319,11,66.658096,-39.514091
bảo chất lượng không,Bao chất lượng k,7,7.374202,-49.087639
bảo đẹp,Bao đẹp,10,-33.830055,-54.217873
nhưng shop bán i hình,Nhưng Shop bán i hình,7,18.783785,-30.031744
bé mình chưa ngồi được,Be minh chưa ngồi dc,1,-9.401886,65.605537
6 tháng ngồi được chưa shop,6 tháng ngồi dc chua Shop,6,-12.854438,0.543526
da,Da,5,93.874809,3.17587
đã không,Dạ k,0,2.217521,34.903206
có những loại nào bạn,Có những loại nào b,2,61.640244,23.106447
thanh chắn cầu thang í,Thanh chắn cầu thang í,8,41.874809,-23.396374
àẻô,Afternoon,11,69.526382,-40.464214
không nhận thêm về à bạn,K nhập thêm về à b,0,4.130913,43.47855
bên bạn quên ạ,Bên b quên ah,8,21.021656,15.414242
tớ hẹn giao sang nay mà,T hẹn giao sáng nay mà,6,-21.889551,-1.067712
không thì bố tớ lại đi đâu mất,K thì bố t lai đi đâu mất,0,2.126691,27.121069
bạn giao luôn trưa hộ tớ với,Bạn giao luôn trưa hộ t với,6,-14.665035,2.907808
có hướng dẫn lắp đặt thì để vào trong hộ tớ nhá,có hướng dẫn lắp đặt thì để vào trong hộ t nha,8,4.927369,-9.286023
vì tớ ở xa nên đổi trả ngại lắm,vì t ở xa nên đổi trả ngại lắm,13,-40.321384,-26.0732
kiểm tra kĩ hàng hộ tớ nhé,kiểm tra kĩ hàng hộ t nhé,14,-15.291727,-39.497837
đây bạn nhé,đây b nhé,12,-12.793937,34.467983
bộ tớ lại đi bắc cạn mất rồi,bố t lại đi bắc cạn mất r,14,-4.54874,-17.896772
hay có bán kèm,hay có bán kèm,2,39.258347,30.491186
ga đệm thì đặt riêng đúng không bạn,ga đệm thì đặt riêng đúng ko bạn,7,8.865148,-42.788937
shop oei,Shop oei,3,-13.735579,-86.343727
shop có cái này koa ạ,Shop có cái này koa ạ,2,40.773479,13.13014
1 8mx2m,"1,8mx2m",3,-4.335097,-86.609978
à nhô,A nhô,10,-42.890358,-69.984749
chị lấy quây cũi,C lấy quây cũi,6,-1.00788,3.023149
jo mới nhắn tin lại,Jo mới nt lại,3,-0.951181,-54.998352
quên mất,Quên mất,10,-44.710918,-42.652817
hôm trước chị bạn mình mua ghế này bên bạn nói là mua 2tr8 ý,Hôm trc c bạn mình mua ghế này bên b nói là mua 2tr8 ý,0,14.928493,32.711559
shop chưa giao hàng cho mình ạ,Shop chưa giao hàng cho m ah?,1,-14.188058,75.745796
68 rạng đông biên giang hà đông hà nội,"68 Rạng Đông. Biên giang, Hà Đông HÀ nội",4,-75.29879,-8.824904
thảm tina +84988938843,Thảo tina: +84988938843,10,-72.745476,-58.544861
cái này bao tiền ạ,cái này bao tiền ạ,9,36.860489,43.23579
sao bạn,Sao b??,2,47.022144,42.100784
hĩĩ,Hixhix,11,65.651962,-26.107994
thế giao sau 18h nhé,Thế giao sau 18h nhé,14,5.106685,-25.177811
mai giao cùng được bạn ạ,Mai giao cũng đc b ạ,6,-16.440866,23.22961
đúng rồi bạn,Đúng r b,0,-0.323084,47.480179
bên bạn giao nhé,Bên bạn giao nhé,1,-6.627916,73.031403
tớ vẫn thấy shop up bài,Tớ vẫn thấy shop up bài,14,-4.513108,-34.996758
thấy rồi ạ,Thấy r ah,9,14.313508,67.591248
cho mình xin để mình lắp được không ạ,Cho mùnh xin để mình lắp đc k ạ,1,-0.199069,75.590973
có hình rõ ghế,Co hình rõ ghế,8,30.264324,-17.506037
được rồi ạ,Đc r ạ,1,5.41403,68.369102
nhưng không được,Nhưng k đc,1,-6.40051,58.733849
mình đang gọi lại,Mình đag gọi lại,1,-6.347759,65.883072
cao vậy hả,Cao vậy hả,2,38.945923,30.824116
0982539763,0982539763,11,69.065712,-32.925842
beiqi thị hồng xuyến,Bùi Thị Hồng Xuyến,10,-53.996166,-40.805763
138 hai bà trưng phường đa kao quận 1,138 hai bà trưng phường đa Kao quận 1,10,-52.35062,-47.626453
mẫu giống hình phải không à,Mẫu giống hình pk AK,8,40.232555,5.481703
xanh trắng và cam,Xanh trắng và cam,3,-17.065662,-80.384827
vậy lấy cho mình 3bộ 3-6 nhe,Vậy lấy cho mình 3bo 3-6 nhe,14,-18.747044,-44.46106
thế ạ hĩ,The ah hixx,7,37.933949,-48.627098
bữa trước thấy đăng mà nay mình tìm không thấy nữa,bữa trc thấy đăng mà nay mình tìm ko thấy nữa,6,-12.818531,23.974977
tưởng bằng da ạ,Tưởng bằng da ạ,3,-0.518606,-73.1763
voi ú oà có hát được kg bạn,Voi ú oà có hát đc kg b?,3,-27.794514,-69.713608
nếu mình lấy 3 thứ đó,Nếu m lấy 3 thứ đó,0,1.426169,16.499775
bạn cho mình lấy vài thứ vậy,B cho mình lấy vài thứ v,14,-20.09128,-13.224578
shop cho mình hỏi 2 món đồ này bạn còn kg à,Shop cho mình hỏi 2 món đồ này b còn kg ak?,0,16.360479,26.089655
kg,kg,10,-58.319138,-67.406105
nguyễn bích thanh sn 66 tổ 2 quang trung mạo khê đông triều quảng ninh 0988999186,"Nguyễn bích thanh
Sn 66 tổ 2 quang trung mạo khê đông triều quảng ninh
0988999186",10,-54.795353,-47.591862
gửi cho mình nhé,Gửi cho mik nhé,1,-19.287966,80.317863
shop cho em hỏi máy tiệt trùng ạ,Shop cho e hỏi máy tiệt trùng ah,0,9.925111,49.332703
mình muốn mua kiểu bô ngồi ấy,Mình muốn mua kiểu bô ngồi ấy,14,-17.289246,-23.071426
vòng xoay khu dân cư 135 thị trấn bến lức long an hà 0967777374,"Vòng xoay khu dân cư 135.thị trấn bến lức long an
Hà
0967777374",13,-63.232433,-31.549999
bạn giao hàng sớm giúp tớ,B giao hàng som giúp t,12,-29.465567,56.998337
tớ đặt rồi,T đặt rôi,12,-20.226454,55.011265
cho tớ link nhé,cho t link nhe,12,-37.415604,26.674425
ui hết rồi ạ,Ui hết rồi ah :(,14,-0.545095,-9.950189
mình lấy thanh 2m,Mình lấy thanh 2m,0,5.522071,15.353802
bạn có mẫy mẫu,Bạn có mẫy mẫu,8,33.238243,-15.234191
mình lấy loại đó nhé,Mình lấy loại đó nhé,9,28.565115,70.582573
như quỳnh 0966151331 phòng 705 toà a1 khung cư an bình city ngay cạnh bộ công an 232 phạm văn đồng phường cổ nhuế 1 quận bắc từ liêm hà nội,"Như Quỳnh. 0966151331. Phòng 705, Toà A1, chung cư An bình city, ngay cạnh Bộ công an, 232 Phạm Văn Đồng, phường Cổ Nhuế 1, quận Bắc Từ Liêm, Hà Nội",13,-53.938251,-28.214499
cho mình dặt thảm này loại 1 8x2 với ạ,"Cho mình dặt thảm này loại 1,8x2 với ạ",6,2.684617,6.771376
nhận được báo mình nhé,Nhận dc báo mình nhé,1,-30.954857,69.485497
hôm nay mình chuyển tiền nhe shop,Hnay mình chuyển tiền nhe shop,12,-33.325893,54.405869
hết t13 hả shop,Hết t13 hả shop,7,10.613908,-44.139572
đây nha shop,Đây nha shop,0,11.248239,15.602208
20/22/12 đường 160 tăng nhơn phú a quận 9 hồ chí minh,"20/22/12 , đường 160 , tăng nhơn phú A , quận 9 , HCM",13,-61.020233,-25.360445
mình muốn đặt bé t13 này á,Mình muốn đặt bé T13 này á,14,-20.93885,-15.643207
size to nhất lại bé quá ạ,Size to nhất lại bé quá ạ,8,28.030323,13.228586
132*165 í ạ,132*165 í ạ,3,-21.805374,-81.588821
mình lấy luôn ạ,M lấy luôn ạ,1,2.310179,75.332405
mình muốn tặng con quá,M muốn tặng con quá,0,12.376333,43.388714
lắp sn con mình,Sắp sn con m,6,-7.146588,5.885286
mình muốn odẻ được không ạ,M muốn oder đc ko ạ?,12,-15.876362,30.148869
chứ cái toy house bé quá,Chứ cái toy house bé quá,7,8.266075,-54.992573
bạn chụp nhận đơn giúp mình nha,B chấp nhận đơn giúp m nha,12,-33.774143,36.177799
tại cái đệm của mình 140*200 thì không vừa á,Tại cái đệm của m 140*200 thì ko vừa á,14,7.852706,-20.734461
alô,Alô,5,84.726601,-13.906121
bao tiền,Bao tiền?,0,4.959158,31.471102
giờ hành chính nhé,Giờ hành chính nhé,8,5.874816,-0.192701
ngõ 15 ngọc hồi hoàng liệt hoàng mai hà nội,"Ngõ 15 ngọc hồi, hoàng liệt hoàng mai hn",4,-72.213783,-9.116728
cho mình 1 cốc tập uống 3 gia đình dành cho bé trai nhé,Cho m 1 cốc tập uống 3 gđ dành cho bé trai nhé,14,-15.291295,-28.14924
z là còn mẫu mình gửi hả bạn,Z là còn mẫu mình gửi hả b,2,34.666805,15.902324
thảm này được làm bằng gì và xuất xứ ở đâu vậy em,Thảm này đc làm bằng gì và xuất xứ ở đâu vậy e,8,22.358089,-3.522667
shop cho chị hỏi túi fatz đôi giữ ấm sữa được bao lâu vậy em,Shop cho c hỏi túi fatz đôi giữ ấm sữa đc bao lâu vậy e,14,-0.261142,-27.76956
đầu tuần tớ lấy sao kệ trên ngân hàng tớ sẽ báo lại bên bạn,Đầu tuần t lấy sao kê trên ngân hàng t sẽ báo lại bên b,6,-10.544368,3.051762
tiền trong tkhoan vẫn nhảy nhưng không biết ai với ai,Tiền trong tkhoan vẫn nhảy. Nhưng k biết ai vs ai,7,5.171609,-47.771679
vì từ sáng đến giờ em không nhận được thế nào từ bidv,Vì từ sáng đến giờ e k nhận đc tn từ bidv,0,19.36977,16.597429
em nhận được đồ rồi,E nhận đc đồ r,12,-29.313137,58.40099
097 6734599,097 6734599,5,89.928955,-3.292944
gửi hàng lên chợ đồng xuân giúp tớ nhé,Gửi hàng lên chợ đồng xuân giúp tớ nhé,6,-18.074726,4.718672
0914948993,0914948993,11,66.211792,-38.990589
về 231 trương định,Về 231 trương định,10,-50.434513,-61.023949
0989729199,0989729199,11,68.099899,-25.515005
mình lấy cả máy hâm,Mình lấy cả máy hâm,0,7.445324,51.770641
mình ở bình định,Mh ở Bình Định,4,-49.363228,7.658863
thôi vậy,Thôi vậy,2,42.50087,33.842438
mình mua 7 món,Mh mua 7 món,14,-19.333015,-17.05336
như vầy là s vậy shop,Như vầy là s vậy Sh,7,38.687809,-41.808117
tớ nhận được rồi,T nhận đc rồi,12,-30.472525,61.60854
vcb nhé,Tcb nhé,3,-27.590832,-60.631962
done bạn ui,Done bạn ui,10,-40.03619,-69.553009
vẫn là nguyen tuan quang ạ bạn,Van la Nguyen tuan quang ah ban,7,12.427496,-58.234467
vậy tổng là 1600 đúng không cậu,Vậy tổng là 1600 đúng k cậu,7,10.488999,-58.763744
thế cho tớ gửi grab luôn nhé,Thế cho t gửi grab luôn nhé,12,-18.825401,36.588417
pkiii,Pkiii,11,66.088661,-27.110567
không phải 1590,K phải 1590,7,6.334066,-43.241711
1935k nhé,1935k nhé,3,-27.478416,-60.591877
có gì gọi chị chị nhỉ 0912655963,Có gì gọi chị: C Nhi: 0912655963,8,14.693001,11.224051
nhưng sau đó 1 thời gian mà lỗi thì không được đổi nữa ạ,Nhưng sau đó 1 thời gian mà lỗi thì k đc đổi nữa ạ,8,19.789724,-7.885301
